property_address,owner,total_amount,amount_paid,amount_due,progress_percent,status,start_date,estimated_end_date
"7421 Oak Reserve Dr, Davenport",Maria Silva,125000,125000,0,100,concluído,2024-06-01,2025-01-15
"9102 Champions Gate Blvd",João Santos,89000,89000,0,100,concluído,2024-07-10,2025-02-01
"3344 Storey Lake Loop",Ana Costa,156000,156000,0,100,concluído,2024-05-20,2024-12-20
"221 Windsor Hills Way",Pedro Lima,67800,67800,0,100,concluído,2024-08-01,2025-01-30
"5560 Encore Resort Ave",Lucia Ferreira,210000,210000,0,100,concluído,2024-04-15,2025-03-10
"8833 Reunion Resort Dr",Carlos Mendes,198000,198000,0,100,concluído,2024-03-01,2024-11-30
"1204 Solterra Blvd",Fernanda Rocha,92000,92000,0,100,concluído,2024-09-01,2025-02-28
"4456 Paradise Palms",Ricardo Alves,74500,74500,0,100,concluído,2024-06-15,2025-01-05
"7788 Formosa Gardens",Patricia Nunes,134000,134000,0,100,concluído,2024-05-01,2024-12-15
"9900 Lake Berkley Dr",Marcos Dias,56000,56000,0,100,concluído,2024-10-01,2025-01-20
"2233 Terra Verde Way",Juliana Pires,112000,112000,0,100,concluído,2024-07-20,2025-02-15
"6677 Legacy Park Blvd",Bruno Cardoso,88000,88000,0,100,concluído,2024-08-10,2025-03-01
"4411 Westside Blvd",Camila Torres,99000,99000,0,100,concluído,2024-06-25,2025-01-10
"5522 Celebration Ave",Diego Martins,143000,143000,0,100,concluído,2024-04-20,2024-12-01
"8866 Highlands Reserve",Sofia Carvalho,76000,76000,0,100,concluído,2024-09-15,2025-02-05
"1133 Southern Dunes",Gabriel Ramos,105000,105000,0,100,concluído,2024-05-10,2024-11-20
"9944 Calabria Ave",Isabela Freitas,118000,118000,0,100,concluído,2024-07-01,2025-01-25
"3366 Bella Vida Ct",Rafael Monteiro,87000,87000,0,100,concluído,2024-08-20,2025-02-20
"7722 Sunset Ridge Dr",Beatriz Lopes,145000,87000,58000,72,em andamento,2025-01-10,2025-06-30
"4488 Island Club Dr",Felipe Araújo,98000,45000,53000,55,em andamento,2025-02-01,2025-08-15
"6611 Palm Parkway",Leticia Gomes,76000,22000,54000,40,em andamento,2025-02-15,2025-09-01
"2299 Margaritaville Way",Thiago Nascimento,189000,94500,94500,68,em andamento,2024-12-01,2025-07-20
"5544 Magic Village Dr",Amanda Reis,112000,33600,78400,45,em andamento,2025-01-20,2025-10-01
